key,label,rows,brier_raw,brier_calibrated,brier_absolute_improvement,brier_relative_reduction,ece_raw,ece_calibrated,bootstrap_delta_brier_mean,bootstrap_ci95_low,bootstrap_ci95_high
dnn,Reto 08 · DNN,6372,0.1787074274681254,0.10724926779945448,0.07145815966867092,0.3998611623538497,0.23286362694846519,0.027708210790360052,-0.0713297201367162,-0.08019309762293765,-0.06265242970328536
simple_rnn,Reto 09 · SimpleRNN,6348,0.16535721191071612,0.10434275977007103,0.06101445214064509,0.3689857335862047,0.22035706771156274,0.009719975235969755,-0.06115642347870221,-0.06638867343928176,-0.055520820799770235
lstm,Reto 09 · LSTM,6348,0.16554153508220168,0.10384728110083574,0.06169425398136594,0.3726814176921272,0.22056392971707628,0.011609067415425226,-0.061613107218112105,-0.06752858110534307,-0.054923828363275036
