threshold,is_selected_2016,roc_auc,pr_auc,brier,precision,recall,f1,accuracy,specificity,false_positive_rate,false_negative_rate,alert_rate,alerts,true_positives,false_positives,true_negatives,false_negatives,positives,negatives,rows,delta_true_positives_vs_selected,delta_false_positives_vs_selected,delta_false_negatives_vs_selected,delta_alerts_vs_selected
0.1,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.32318426895020613,0.8891797556719022,0.4740637357525006,0.6451663527934715,0.5916570991197857,0.4083429008802143,0.11082024432809773,0.4948210922787194,3153,1019,2134,3092,127,1146,5226,6372,304,1425,-304,1729
0.15,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.3758606723369785,0.8097731239092496,0.5134163208852005,0.7239485247959824,0.7051282051282052,0.2948717948717949,0.19022687609075042,0.3874764595103578,2469,928,1541,3685,218,1146,5226,6372,213,832,-213,1045
0.2,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.4487109160724081,0.7137870855148342,0.551027281913102,0.7908035153797865,0.8076923076923077,0.19230769230769232,0.2862129144851658,0.28609541745134964,1823,818,1005,4221,328,1146,5226,6372,103,296,-103,399
0.242580981568,True,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.5021067415730337,0.6239092495636999,0.556420233463035,0.8210922787193974,0.8643321852277076,0.1356678147722924,0.3760907504363002,0.22347771500313873,1424,715,709,4517,431,1146,5226,6372,0,0,0,0
0.3,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.5753295668549906,0.5331588132635253,0.5534420289855072,0.8452605147520402,0.913700727133563,0.08629927286643704,0.4668411867364747,0.16666666666666666,1062,611,451,4775,535,1146,5226,6372,-104,-258,104,-362
0.4,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.7043478260869566,0.42408376963350786,0.5294117647058824,0.864406779661017,0.9609644087256027,0.03903559127439724,0.5759162303664922,0.10828625235404897,690,486,204,5022,660,1146,5226,6372,-229,-505,229,-734
0.5,False,0.8521750557188551,0.6168015809402023,0.10334811797516444,0.7595190380761523,0.3307155322862129,0.460790273556231,0.860797237915882,0.9770378874856487,0.022962112514351322,0.6692844677137871,0.07831136220966729,499,379,120,5106,767,1146,5226,6372,-336,-589,336,-925
