cell,easting_mean,northing_mean,cluster,years_available,log_traffic_mean,log_traffic_max,traffic_year_cv,point_cv_mean,log_link_length_km,log_count_points,road_category_n,year_coverage_frac,traffic_trend_pct_per_year
4264,243000.0,539000.0,0,10,6.2007119932300805,6.259581464064923,0.03449199099984384,0.0,1.252762968495368,0.6931471805599453,1,1.0,0.008485587432955622
4341,211735.0,543600.0,0,10,6.985132900003482,7.256297239690681,0.0401845285524696,0.32363096596224195,2.8678989020441064,1.0986122886681098,1,1.0,-0.0031918611750935666
4343,233400.0,543650.0,0,10,6.695922518813794,6.902742737158593,0.03067829160390587,0.20533662358840923,3.1179499062782403,1.0986122886681098,1,1.0,0.005849861065799588
4344,243510.5,545000.0,0,10,7.136363869727405,7.324489979348532,0.03619666437810953,0.17368984601642543,2.23001440015921,1.0986122886681098,1,1.0,0.006604243654846617
4420,205991.25,556509.375,0,10,8.09371048689589,8.815518423966498,0.04677873297046092,0.5490624429088565,3.00071981506503,2.1972245773362196,1,1.0,0.012258245589668877
4421,211700.0,559200.0,0,10,8.680518795464593,8.835355971121606,0.07260030755615736,0.0,2.2407096892759584,0.6931471805599453,1,1.0,0.02072370808885625
4422,221800.0,554455.0,0,10,7.872474204760486,8.39660622842712,0.03438706581000927,0.8320361111742989,2.8094026953624978,1.0986122886681098,2,1.0,0.008626321544489097
4423,235980.4,557842.6,0,10,6.0335657231266175,6.226536669287466,0.15752567088493302,0.0,0.0,0.6931471805599453,1,1.0,-0.031103927307675576
4424,244225.0,553592.5,0,10,7.886936299404506,8.520587424484253,0.04481628390312268,0.5012105244521161,3.3775875160230218,1.6094379124341003,2,1.0,0.01089874043627394
4425,255000.0,552950.0,0,10,8.572097956585523,8.643473357326567,0.03306856935916368,0.0,2.2925347571405443,0.6931471805599453,1,1.0,0.0014207055788515032
4426,266821.3333333333,554078.3333333334,0,10,8.000122179826564,8.857230494201946,0.04003730226026339,0.7944624191086349,3.6000482404073204,2.302585092994046,3,1.0,0.010572829164405433
4427,270100.0,556550.0,0,10,8.500718221322359,8.861491864286915,0.050212911581167634,0.4263109875760172,2.322387720290225,1.0986122886681098,2,1.0,0.014868962950226834
4428,282155.0,554600.0,0,10,7.444541004417659,7.827639546366422,0.025031578880189077,0.5546708311746025,3.5380565643793527,1.0986122886681098,1,1.0,0.0017442633412214558
4500,206299.315,562077.33375,0,10,8.33243506860476,8.992681750892542,0.028227994465193612,0.49500465565854934,3.4531571205928664,2.8154087194227095,3,1.0,0.0020329018330072835
4503,235220.33333333334,563797.0,0,10,8.036012666060294,8.435332164935916,0.04016406739504791,0.5599060839005583,3.3141860046725258,1.3862943611198906,2,1.0,0.009118570848430884
4504,241733.33333333334,563366.6666666666,0,10,8.599233901752447,9.026056891868688,0.07673380240308168,0.3732297600657107,2.517696472610991,1.3862943611198906,2,1.0,0.02402240408321636
4507,276005.15,562611.525,0,10,8.529435448254787,9.071767722112243,0.025451348848739588,0.37598254142950366,3.1822118404966093,2.1972245773362196,2,1.0,0.004892083810786362
4508,281794.075,563643.65,0,10,8.264305383164825,9.128804883993665,0.08163387136894625,0.9259980072960626,2.9338568698359038,1.6094379124341003,3,1.0,0.011902162065424533
4509,297680.0,564900.0,0,10,7.328831234604449,7.366445148327599,0.029287058779808504,0.0,3.370738174177447,0.6931471805599453,1,1.0,-0.0036381150265295563
4511,315973.6,566973.25,0,10,8.657215969336065,9.385217621880901,0.044293173410332044,1.2317793041462934,0.9555114450274363,1.0986122886681098,2,1.0,-0.0038046757462465186
4512,320000.0,567710.0,0,10,9.085026551004148,9.261983605128021,0.13944179634520862,0.0,1.5260563034950492,0.6931471805599453,1,1.0,0.033889431658442375
4513,331162.5,567975.0,0,10,10.200475255492202,10.618738632003,0.08456459874910545,0.4226497291856872,2.9338568698359038,1.6094379124341003,2,1.0,0.020947502836302305
4580,208200.0,575320.0,0,10,7.9259164432526195,8.126813720726114,0.08918586598655626,0.0,2.928523523860541,0.6931471805599453,1,1.0,0.023205565831419344
4583,238100.0,570000.0,1,10,7.257848611555315,7.415776975415394,0.1726973608602673,0.0,2.8903717578961645,0.6931471805599453,1,1.0,0.05150361320153979
4585,250000.0,571950.0,0,10,6.39959277263563,6.472346294500901,0.041969199215920294,0.0,3.367295829986474,0.6931471805599453,1,1.0,0.00839564475928091
4586,264749.85714285716,577465.7142857143,0,10,7.03577149091855,7.879669914604289,0.05017297027440587,0.6776341840361094,4.0163830207523885,2.0794415416798357,1,1.0,0.014658600090729591
4587,278900.0,574100.0,0,10,6.505634572124363,6.586171654854675,0.047333156977567174,0.0,2.2407096892759584,0.6931471805599453,1,1.0,0.01309395799588913
4588,285500.0,573740.0,0,10,9.121399862679535,9.252824983582338,0.09281803587304882,0.0,2.5952547069568657,0.6931471805599453,1,1.0,0.026345218693272256
4589,297104.3034482759,576249.5655172414,0,10,9.095727220716562,10.109932454227286,0.041339774823324446,0.563495908832381,3.919991175077323,3.4011973816621555,3,1.0,-0.005094648860757053
4590,303704.04,576059.8400000001,0,10,9.05833306016038,9.52558897214577,0.03690600224138413,0.5409489079707794,3.4657359027997265,1.791759469228055,3,1.0,0.006333109716344995
4591,313039.5,576389.5,0,10,9.670277882415585,10.459066632489291,0.0511493477343405,1.3688065053164178,2.066862759472976,1.0986122886681098,2,1.0,0.011761909203310576
4592,325396.0666666667,572154.7333333334,0,10,9.963506500773267,10.454408506866061,0.04647692563470228,0.8269519722577661,2.4069451083182885,1.3862943611198906,2,1.0,0.010011904619208903
4593,338906.5,574227.0,0,10,8.256866848974312,8.408939605975984,0.044931154994254645,0.13088982850029365,1.5260563034950492,1.0986122886681098,1,1.0,0.009871882594436042
4662,223800.0,582415.0,0,10,6.702513038803614,6.97354301952014,0.06427330932707721,0.22944164179880153,2.740840023925201,1.0986122886681098,1,1.0,0.01991145085373342
4666,262361.5,581612.75,0,10,7.060776750064539,7.674617497364363,0.04000887373214224,0.6152690676014423,3.0819099697950434,1.6094379124341003,1,1.0,0.0054549878915402285
4667,270000.0,585000.0,0,10,5.346631226826587,5.43372200355424,0.05027974432932556,0.0,2.9391619220655967,0.6931471805599453,1,1.0,0.014302914255044192
