model,threshold_from_val,val_roc_auc,val_pr_auc,val_brier,test_roc_auc,test_pr_auc,test_brier,test_precision,test_recall,test_f1,lift_top_1pct,lift_top_5pct,epochs_run,best_epoch_by_pr
LSTM + Platt,0.26632536663997347,0.8475174527690097,0.5795445807398876,0.09960585088507264,0.8464966488254952,0.6092131142547675,0.10384728110083574,0.547923322683706,0.5986038394415357,0.5721434528773979,5.1930628272251305,4.476703217096381,38.0,30.0
SimpleRNN + Platt,0.2972723669522845,0.8436472563057165,0.5695900281765949,0.10060095218880809,0.8447883516408308,0.6046199785171533,0.10434275977007103,0.5697569756975698,0.5523560209424084,0.5609215773150199,5.1930628272251305,4.407026902433403,40.0,36.0
Lag Logistic Regression + Platt,0.235616847913447,0.8373761054550262,0.550502384833271,0.10397784516180542,0.8379122206320162,0.5906925966498882,0.10718574688434669,0.5305164319248826,0.5916230366492147,0.5594059405940595,4.933409685863874,4.372188745101913,,
Historical mean presence,0.3333333432674408,0.817561184820502,0.49333428392017864,0.10714972043763994,0.8242192558507166,0.5422277011737803,0.10913761110106117,0.4967462039045553,0.599476439790576,0.5432977461447213,4.5872054973821985,4.389607823767658,,
Same month previous year,1.0,0.6456019700028777,0.26770224452082164,0.19245283018867926,0.6664024710592583,0.31055785131816915,0.18824826717076246,0.4767772511848341,0.4389179755671902,0.4570649704679691,1.6444698952879582,1.86384141723468,,
Last month presence,1.0,0.6418240973540797,0.2626259610030641,0.19622641509433963,0.6681119424466224,0.30605186186371447,0.19659735349716445,0.45557491289198604,0.456369982547993,0.4559721011333915,1.125163612565445,1.8812604959004247,,
Global prevalence,0.14346219699017754,0.5,0.1661949685534591,0.13909097988392224,0.5,0.18052930056710775,0.14931244237144153,0.18052930056710775,1.0,0.3058446757405925,0.08655104712041885,0.03483815733148935,,
