current_weight,deep_mean_weight,roc_auc,pr_auc,brier,log_loss,lift_top_1pct,lift_top_5pct,lift_top_10pct
0.0,1.0,0.8526169287822578,0.6182938633458069,0.10352770960642117,0.3352148478600672,5.1930628272251305,4.54637953175936,3.9952508554231767
0.1,0.9,0.8534809742259153,0.6199543728765793,0.10336060783649142,0.3344547845392856,5.106511780104712,4.581217689090849,4.0039741105660225
0.2,0.8,0.8540737788459668,0.620803851274923,0.10323530209016628,0.3338655265930746,5.106511780104712,4.598636767756594,4.0039741105660225
0.3,0.7,0.8544827368719107,0.6216099430683422,0.10315179236744576,0.3334384615812414,5.1930628272251305,4.633474925088083,4.021420620851713
0.4,0.6,0.8546402477768987,0.6221078015981191,0.10311007866832987,0.33316928088971953,5.1930628272251305,4.650894003753828,4.047590386280249
0.5,0.5,0.8546467897633678,0.6223208133702353,0.10311016099281856,0.33305719223423513,5.1930628272251305,4.685732161085317,4.0563136414230945
0.6,0.4,0.8544461688449803,0.6222193088113598,0.10315203934091187,0.3331047540726026,5.1930628272251305,4.650894003753828,4.047590386280249
0.7,0.3,0.8540258042785263,0.6214927525195084,0.10323571371260978,0.3333182465510531,5.1930628272251305,4.581217689090849,4.0824834068516305
0.8,0.2,0.8534390384152155,0.6203228909082652,0.10336118410791234,0.33370875306443465,5.27961387434555,4.581217689090849,4.073760151708785
0.9,0.1,0.8525830446472125,0.6188733391007731,0.10352845052681948,0.3342945754809237,5.27961387434555,4.5637986104251045,4.073760151708785
1.0,0.0,0.8515490752985997,0.6168145043000667,0.10373751296933123,0.3351069653581898,5.27961387434555,4.598636767756594,4.038867131137403
